               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,             0.04901,             0.01602,           0.0072062,             0.76489,             0.82164,             0.88796,             0.47222,            0.048186,            0.017125,           0.0037477,           0.0096188,           0.0096188,           0.0096188
                  79,            0.048864,            0.016288,           0.0061991,             0.55515,             0.67512,             0.71337,             0.24244,             0.08042,            0.015886,           0.0037024,           0.0096139,           0.0096139,           0.0096139
                  80,            0.069132,            0.017332,           0.0062452,             0.55515,             0.67512,             0.71337,             0.24244,             0.08042,            0.015886,           0.0037024,            0.009609,            0.009609,            0.009609
                  81,            0.070024,             0.01618,           0.0059999,             0.50582,             0.70987,             0.70563,             0.21551,            0.080945,            0.015066,           0.0036209,            0.009604,            0.009604,            0.009604
                  82,            0.067095,            0.015654,            0.006795,             0.84772,             0.51212,             0.70371,             0.17483,            0.062377,            0.015123,           0.0036765,            0.009599,            0.009599,            0.009599
                  83,            0.062015,            0.019546,           0.0066982,             0.58348,             0.76817,             0.77544,             0.22833,            0.059771,            0.015027,           0.0035483,           0.0095941,           0.0095941,           0.0095941
                  84,             0.06213,            0.016469,           0.0067637,             0.58348,             0.76817,             0.77544,             0.22833,            0.059771,            0.015027,           0.0035483,           0.0095892,           0.0095892,           0.0095892
                  85,             0.05845,            0.014962,           0.0059286,             0.64774,              0.8578,             0.76328,             0.35672,            0.058036,            0.014841,           0.0034878,           0.0095842,           0.0095842,           0.0095842
                  86,            0.056531,            0.016686,           0.0056651,             0.67097,             0.66724,             0.71421,             0.14197,            0.052115,            0.015409,           0.0035306,           0.0095793,           0.0095793,           0.0095793
                  87,            0.050612,            0.017692,           0.0061019,             0.83332,              0.8357,             0.87854,             0.48148,            0.054053,            0.014825,           0.0033462,           0.0095743,           0.0095743,           0.0095743
                  88,            0.052453,             0.01732,           0.0052557,             0.83332,              0.8357,             0.87854,             0.48148,            0.054053,            0.014825,           0.0033462,           0.0095694,           0.0095694,           0.0095694
                  89,            0.049916,            0.018039,           0.0055526,             0.93379,             0.80862,             0.94886,             0.41929,            0.051599,            0.014528,           0.0033963,           0.0095644,           0.0095644,           0.0095644
                  90,            0.050067,            0.018679,           0.0055955,              0.9197,             0.88437,              0.9661,             0.47171,              0.0427,            0.015194,           0.0033534,           0.0095595,           0.0095595,           0.0095595
                  91,             0.04829,            0.017224,           0.0050596,             0.43381,             0.91268,             0.66683,             0.17197,            0.052905,            0.015069,           0.0033667,           0.0095545,           0.0095545,           0.0095545
                  92,            0.051863,            0.016519,           0.0055827,             0.43381,             0.91268,             0.66683,             0.17197,            0.052905,            0.015069,           0.0033667,           0.0095496,           0.0095496,           0.0095496
                  93,            0.048114,             0.01605,           0.0053544,             0.48464,             0.95329,              0.7776,             0.18857,            0.047145,            0.015148,           0.0033412,           0.0095446,           0.0095446,           0.0095446
                  94,            0.046952,            0.018899,           0.0047989,             0.61733,             0.97524,             0.84488,             0.39099,            0.040425,            0.014861,           0.0033276,           0.0095397,           0.0095397,           0.0095397
                  95,            0.045415,             0.02171,           0.0053092,             0.87856,             0.87151,             0.95554,             0.52379,            0.045255,            0.014826,           0.0033638,           0.0095347,           0.0095347,           0.0095347
                  96,            0.046987,            0.017313,           0.0047486,             0.87856,             0.87151,             0.95554,             0.52379,            0.045255,            0.014826,           0.0033638,           0.0095298,           0.0095298,           0.0095298
                  97,            0.044314,            0.017466,           0.0058304,             0.91423,             0.94816,             0.96988,              0.4926,            0.042342,            0.014818,           0.0034714,           0.0095248,           0.0095248,           0.0095248
